Carla Interface.agents.Ego Vehicle_1.accelerations;Carla Interface.agents.Ego Vehicle_1.applied_input;Carla Interface.agents.Ego Vehicle_1.cruise_control_speed
[-2.8979170322418213, -4.288862228393555, 1.5227552694341284e-06];[-0.006646154914051294, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.910475254058838, -4.274855613708496, 9.394217340741307e-05];[-0.006883517373353243, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.910475254058838, -4.274855613708496, 9.394217340741307e-05];[-0.006883517373353243, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.921940326690674, -4.261455535888672, -4.994907067157328e-05];[-0.00711099011823535, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.9430997371673584, -4.242099761962891, -4.337499831308378e-06];[-0.007457143627107143, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.952474355697632, -4.230060577392578, 6.595296872546896e-05];[-0.007674726191908121, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.964487314224243, -4.216497421264648, -5.5591655836906284e-05];[-0.007912089116871357, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.964487314224243, -4.216497421264648, -5.5591655836906284e-05];[-0.007912089116871357, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.976801872253418, -4.196418762207031, -0.000143133889650926];[-0.00823846273124218, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-2.9917995929718018, -4.181049823760986, 0.00016437473823316395];[-0.008456045761704445, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0105013847351074, -4.162876129150391, -1.2201890058349818e-05];[-0.008723077364265919, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.020745038986206, -4.150176525115967, -6.844793006166583e-06];[-0.008891209959983826, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.020745038986206, -4.150176525115967, -6.844793006166583e-06];[-0.008891209959983826, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0282680988311768, -4.138990879058838, 6.437682895921171e-05];[-0.0090098911896348, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0413095951080322, -4.1189398765563965, -0.00011000251834047958];[-0.00916813313961029, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0492146015167236, -4.10784912109375, -4.463524601305835e-05];[-0.009227474220097065, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.056983470916748, -4.096805572509766, -9.849117304838728e-06];[-0.009267034009099007, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.056983470916748, -4.096805572509766, -9.849117304838728e-06];[-0.009267034009099007, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0588088035583496, -4.089310169219971, 5.172238888917491e-05];[-0.009217583574354649, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.059659004211426, -4.082363128662109, -0.00011493357305880636];[-0.009128572419285774, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.0603158473968506, -4.075712203979492, 0.00014610298967454582];[-0.0090098911896348, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.054177761077881, -4.0731706619262695, -3.4255390346515924e-05];[-0.008782418444752693, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
